"PC1" "PC2" "PC3" "Population" "Superpopulation"
"HG01804" -90.862713927681 -111.914790180666 4.20380715567246 "CDX" "EAS"
"HG01805" -89.6698450948171 -112.668712230073 3.79284975905139 "CDX" "EAS"
"HG01806" -89.9952459190938 -113.834573092128 4.77061936900326 "CDX" "EAS"
"HG01807" -90.3003598329736 -111.754725002911 2.83121857896752 "CDX" "EAS"
"HG01808" -91.0461708177996 -112.578017283226 3.96916316421492 "CDX" "EAS"
"HG01809" -90.4095226833474 -112.08923715939 3.7772036246848 "CDX" "EAS"
"HG01810" -90.3751405563745 -111.133783326145 4.11336699171218 "CDX" "EAS"
"HG01811" -91.3491191007846 -112.652904613567 4.19798689880695 "CDX" "EAS"
"HG01812" -90.9538268200802 -114.130338777782 4.26257334286862 "CDX" "EAS"
"HG01813" -90.8178917004488 -113.18898958129 3.93332805867254 "CDX" "EAS"
"HG01815" -89.0187199758818 -112.707809539194 2.01864126848718 "CDX" "EAS"
"HG01816" -89.758776339123 -113.740310751883 4.60708370275719 "CDX" "EAS"
"HG01817" -90.3444453660689 -112.090981467432 3.03141078578243 "CDX" "EAS"
"HG01840" -90.0501473875978 -110.345109367475 1.94421853294494 "KHV" "EAS"
"HG01841" -90.6371227188793 -109.271280315894 2.24743994017344 "KHV" "EAS"
"HG01842" -88.5917879949281 -107.956373140965 2.87623779485952 "KHV" "EAS"
"HG01843" -91.3284930685126 -109.279686035083 2.68908109685782 "KHV" "EAS"
"HG01844" -89.3156282789586 -109.653188610559 2.26834116133195 "KHV" "EAS"
"HG01845" -89.4336400179214 -109.820913571252 3.05087639446115 "KHV" "EAS"
"HG01846" -88.6022510242646 -108.435133886443 1.51963473962903 "KHV" "EAS"
"HG01847" -88.8329312012292 -107.815933695081 2.08651687539456 "KHV" "EAS"
"HG01848" -89.7239954390367 -110.537094779371 1.16347190610998 "KHV" "EAS"
"HG01849" -91.4803449527824 -108.342823899761 1.92020715091414 "KHV" "EAS"
"HG01850" -90.0375299843943 -108.06276293647 5.06008073214932 "KHV" "EAS"
"HG01851" -89.4228787212185 -112.986053853122 3.77178016840838 "KHV" "EAS"
"HG01852" -90.6939869500075 -109.507509938046 1.58284698738826 "KHV" "EAS"
"HG01853" -90.7790296698249 -109.156376171764 1.68533708277451 "KHV" "EAS"
"HG01855" -88.4620840539494 -107.477000836375 2.76795934714842 "KHV" "EAS"
"HG01857" -89.4813586524897 -110.901224771409 1.97287253674759 "KHV" "EAS"
"HG01858" -89.4757335524795 -110.596106676039 2.53347494155383 "KHV" "EAS"
"HG01859" -90.3048093103302 -110.886540906184 5.10702192536492 "KHV" "EAS"
"HG01860" -90.1249057974316 -113.071112988585 3.39555445257032 "KHV" "EAS"
"HG01861" -89.5550622369615 -108.52546637319 2.27025040640613 "KHV" "EAS"
"HG01862" -90.5165973044203 -110.342770987063 0.751845296728214 "KHV" "EAS"
"HG01863" -91.7451832923085 -112.323638173491 2.11646351861877 "KHV" "EAS"
"HG01864" -88.5231888156755 -110.16172749817 2.36680026162505 "KHV" "EAS"
"HG01865" -90.9550536413406 -110.374866270892 2.85676042577324 "KHV" "EAS"
"HG01866" -90.0862091369597 -107.39339578699 2.10872358841978 "KHV" "EAS"
"HG01867" -90.2432830937041 -107.37728725427 2.2075595753534 "KHV" "EAS"
"HG01868" -90.0765442989518 -109.431331073834 2.24171460744109 "KHV" "EAS"
"HG01869" -89.9819400782385 -110.535293250259 5.28295388011779 "KHV" "EAS"
"HG01870" -89.428142063566 -110.447931380459 3.90591641971874 "KHV" "EAS"
"HG01871" -89.6148577908297 -109.9937636509 2.97241312186505 "KHV" "EAS"
"HG01872" -89.9354097866686 -108.335588284991 2.82576335788647 "KHV" "EAS"
"HG01873" -90.0639798295816 -109.750662055548 2.97426178629102 "KHV" "EAS"
"HG01874" -89.7086180082058 -108.527007721819 1.83585524283962 "KHV" "EAS"
"HG01878" -90.812020202289 -108.028138839944 1.84686594392155 "KHV" "EAS"
"HG01879" 134.505068642287 -9.93979806724805 2.91353321560395 "ACB" "AFR"
"HG01880" 68.4953482503812 -7.32465449958855 -24.264618392319 "ACB" "AFR"
"HG01882" 159.393512576291 -23.5690534308588 0.730762345067485 "ACB" "AFR"
"HG01883" 136.900658022208 -10.6713520169382 3.70501924258167 "ACB" "AFR"
"HG01885" 154.734084954424 -18.9568421585135 1.44839513783996 "ACB" "AFR"
"HG01886" 144.670975256842 -12.8769676430087 2.94596652241104 "ACB" "AFR"
"HG01889" 161.075191748809 -23.0498076652584 2.43058781687406 "ACB" "AFR"
"HG01890" 141.780178758875 -12.4023613599194 3.88902934288443 "ACB" "AFR"
"HG01892" -57.6734141935875 -8.68578154807065 88.7638923115042 "PEL" "AMR"
"HG01893" -38.7058630317603 7.6352714731374 72.6279809302419 "PEL" "AMR"
"HG01894" 150.063306612285 -16.5241197966063 1.21532321763366 "ACB" "AFR"
"HG01896" 161.462226854449 -22.0494892433662 1.1426747061166 "ACB" "AFR"
"HG01912" 147.021855726022 -16.1039071557489 0.2398667395102 "ACB" "AFR"
"HG01914" 135.493137570835 -10.130715768845 2.58998693894262 "ACB" "AFR"
"HG01915" 151.275710442513 -20.2686033031399 0.0349386671857972 "ACB" "AFR"
"HG01917" -73.9244103432055 -16.7590492643651 102.789099080107 "PEL" "AMR"
"HG01918" -73.862398710915 -4.86594944463251 92.617149094961 "PEL" "AMR"
"HG01920" -85.6171931020126 -29.1156881606508 114.427511756733 "PEL" "AMR"
"HG01921" -72.8425873882616 -5.03079626124258 91.462737663929 "PEL" "AMR"
"HG01923" -81.6969569332689 -28.7656345886626 111.557534037305 "PEL" "AMR"
"HG01924" -50.0902964639016 -20.9377782262367 80.4291664632695 "PEL" "AMR"
"HG01926" -86.8391498174108 -34.7162519292749 115.850051117443 "PEL" "AMR"
"HG01927" -82.2287316276843 -24.6648096858959 109.782550466362 "PEL" "AMR"
"HG01932" -74.6406542697066 -5.64061409640391 97.1100079620447 "PEL" "AMR"
"HG01933" -50.7935923933266 -9.55461788530653 77.807447768669 "PEL" "AMR"
"HG01935" -69.5472576919493 -0.866368448291731 90.7529928077656 "PEL" "AMR"
"HG01936" -60.848987309643 6.46809793895734 82.5533470216475 "PEL" "AMR"
"HG01938" -84.0582084657321 -34.3132070754887 115.301283587885 "PEL" "AMR"
"HG01939" -71.6013500200696 -5.76058700399301 96.1411392571316 "PEL" "AMR"
"HG01941" -63.8962994489236 -20.0853402818057 94.0911872752968 "PEL" "AMR"
"HG01942" -75.3311221079154 -13.3773077251968 100.192182062106 "PEL" "AMR"
"HG01944" -80.2171734001168 -52.5665618616846 65.6241637709792 "PEL" "AMR"
"HG01945" -74.973496498848 -7.64723627733927 94.6094431059166 "PEL" "AMR"
"HG01947" -60.9543170254849 9.63119943444618 77.295677046557 "PEL" "AMR"
"HG01948" -35.46474831075 -22.7344009756527 77.1443070075976 "PEL" "AMR"
"HG01950" -67.0418693993601 -23.7556269893121 99.5806365711776 "PEL" "AMR"
"HG01951" -79.6266380107609 -32.2684243318381 108.007119108903 "PEL" "AMR"
"HG01953" -78.1985322519644 -20.4609910448801 104.419443194771 "PEL" "AMR"
"HG01954" -81.523012977075 -22.6988897125453 106.556395163826 "PEL" "AMR"
"HG01956" 153.476867919469 -17.0894825886488 2.77448931046711 "ACB" "AFR"
"HG01958" 136.472330983278 -10.5507890315801 1.75736103222885 "ACB" "AFR"
"HG01961" -85.7468427574049 -32.4239749344354 116.69545169069 "PEL" "AMR"
"HG01965" -48.9727785215017 6.52825113855039 71.2430644498348 "PEL" "AMR"
"HG01967" -64.0188464867705 11.4965074342195 81.5920305848616 "PEL" "AMR"
"HG01968" -84.7793833742803 -30.0501514932398 111.750147240712 "PEL" "AMR"
"HG01970" -69.1362679609673 6.96110821690572 81.8752764418823 "PEL" "AMR"
"HG01971" -31.880497477452 1.3088625791905 69.9907097478232 "PEL" "AMR"
"HG01973" -70.0176815236751 -14.5120122604369 97.9507780282884 "PEL" "AMR"
"HG01974" -81.8057141169571 -30.9203273346786 109.206487586958 "PEL" "AMR"
"HG01976" -68.5638654146267 6.12438110027199 85.5680081090808 "PEL" "AMR"
"HG01977" -74.8854148558328 -6.02782782745646 98.0036165888044 "PEL" "AMR"
"HG01979" -70.3730256569544 0.558727464562987 88.0147248490279 "PEL" "AMR"
"HG01980" -64.9893818332985 -2.23837884139564 89.8052364572497 "PEL" "AMR"
"HG01982" -75.0787477718641 -8.03384600747051 93.4945256413028 "PEL" "AMR"
"HG01985" 149.885382907794 -17.16578232958 2.22983659669167 "ACB" "AFR"
"HG01986" 141.651456388648 -10.0166590849784 4.98621617440745 "ACB" "AFR"
"HG01988" 78.198286309388 27.6943417524334 6.84842058924874 "ACB" "AFR"
"HG01989" 136.406351537683 -7.80313248175389 4.27595784378423 "ACB" "AFR"
"HG01990" 151.642182615009 -19.9077539639627 1.95873458769597 "ACB" "AFR"
"HG01991" -69.1127028545961 -2.96344947405795 90.5742118702184 "PEL" "AMR"
"HG01992" -82.9556026574875 -23.8845680370874 106.131822689764 "PEL" "AMR"
"HG01997" -78.9026967761709 -19.2644146635255 101.885835944433 "PEL" "AMR"
"HG02002" -73.5423191018615 -7.91216179141267 93.6214187710184 "PEL" "AMR"
"HG02003" -74.4266561756136 -12.7722571733211 101.387203759164 "PEL" "AMR"
"HG02006" 27.93178970374 6.97431531865771 43.0494160474745 "PEL" "AMR"
"HG02008" -76.1665077412711 -16.7854668972857 99.3943340582055 "PEL" "AMR"
"HG02009" 135.800757465157 -7.04622237143188 3.79496323575698 "ACB" "AFR"
"HG02010" 134.341212295385 -8.16954053668144 3.57395573745949 "ACB" "AFR"
"HG02012" 150.730552187291 -18.438066538742 2.21116567592223 "ACB" "AFR"
"HG02013" 160.251810704742 -24.5387346720378 -0.069503293446206 "ACB" "AFR"
"HG02014" 143.039306213878 -11.8110617644582 2.42160043779522 "ACB" "AFR"
"HG02016" -86.0440643031743 -97.0389245411041 -4.13582884937489 "KHV" "EAS"
"HG02017" -88.4813415949954 -107.031934854042 2.26241817867881 "KHV" "EAS"
"HG02019" -89.0613955320125 -108.726794232867 2.56589435888844 "KHV" "EAS"
"HG02020" -89.8596778971894 -109.124495489404 2.56798595518959 "KHV" "EAS"
"HG02023" -90.2056165422775 -109.206967367188 4.34108957363832 "KHV" "EAS"
"HG02025" -89.9700564945353 -112.288968001406 5.10989141655089 "KHV" "EAS"
"HG02026" -90.3050016010979 -111.258161692285 3.55559911630713 "KHV" "EAS"
"HG02028" -89.942499591772 -108.747641494667 3.40220533497008 "KHV" "EAS"
"HG02029" -91.0260091620764 -114.738981911282 5.40534914725458 "KHV" "EAS"
"HG02031" -89.9957374407768 -112.299828904978 4.68086442628253 "KHV" "EAS"
"HG02032" -91.282985905336 -109.6078630043 7.26265078962872 "KHV" "EAS"
"HG02035" -88.6966853738528 -108.497294544266 3.19339620592362 "KHV" "EAS"
"HG02040" -90.5369029694197 -107.806123707815 3.48646847323883 "KHV" "EAS"
"HG02047" -91.0801117174255 -110.059114689107 1.78379459063506 "KHV" "EAS"
"HG02048" -89.5461113843789 -108.528342655109 1.68551054485252 "KHV" "EAS"
"HG02049" -89.0074218321018 -109.594167743855 4.02574900193909 "KHV" "EAS"
"HG02050" -89.4363518157887 -109.788571970379 2.84814497756404 "KHV" "EAS"
"HG02051" 163.502806346776 -25.745835825436 1.06706715045946 "ACB" "AFR"
"HG02052" 162.933150597617 -23.5624970983244 1.20766496406366 "ACB" "AFR"
"HG02053" 153.680699485145 -18.8016291914678 2.12518046195159 "ACB" "AFR"
"HG02054" 141.78256806171 -11.5637442687854 3.0696841887048 "ACB" "AFR"
"HG02057" -90.0460351337102 -110.474671463693 3.18128746523764 "KHV" "EAS"
"HG02058" -86.2333729844264 -105.439280411127 0.579949067432393 "KHV" "EAS"
"HG02060" -90.3913329509767 -109.054131115526 4.16690186610739 "KHV" "EAS"
"HG02061" -89.3460744588332 -108.129643623187 1.86313760791028 "KHV" "EAS"
"HG02064" -88.8116363869049 -110.775370383474 4.85238543771958 "KHV" "EAS"
"HG02067" -88.7830482970356 -107.485371197969 1.26061366623259 "KHV" "EAS"
"HG02069" -90.1056681409129 -105.965629279406 2.32738843576136 "KHV" "EAS"
"HG02070" -88.4591481669534 -108.586215202466 1.29793510103674 "KHV" "EAS"
"HG02072" -89.0667517742257 -108.258785010199 1.3791896073751 "KHV" "EAS"
"HG02073" -89.4610964929687 -111.844881064867 3.54610991312681 "KHV" "EAS"
"HG02075" -89.8054650623876 -109.679328056415 1.01286295598599 "KHV" "EAS"
"HG02076" -90.9101321633833 -111.898169520233 2.93453913141494 "KHV" "EAS"
"HG02078" -90.361434074305 -109.415615459581 2.79765158572759 "KHV" "EAS"
"HG02079" -89.1094824163036 -111.067808947245 3.80308591920632 "KHV" "EAS"
"HG02081" -91.5684549837592 -110.119513729093 3.09796166510893 "KHV" "EAS"
"HG02082" -89.4373485543108 -111.215250320161 4.74927923275808 "KHV" "EAS"
"HG02084" -89.4622621361783 -110.321302860125 3.39982275099337 "KHV" "EAS"
"HG02085" -90.2975906263352 -109.107782252957 3.20552440057845 "KHV" "EAS"
"HG02086" -89.1462153550603 -107.924603430465 1.12978354579715 "KHV" "EAS"
"HG02087" -89.7670712485256 -109.978714783683 1.13964487334325 "KHV" "EAS"
"HG02088" -90.472329154727 -110.578974735215 3.35458826337734 "KHV" "EAS"
"HG02089" -66.0899668002148 7.7616601143265 82.2015957545838 "PEL" "AMR"
"HG02090" -38.1456650782131 8.76699559910358 73.0132081047142 "PEL" "AMR"
"HG02095" 154.330481208822 -21.001766432511 1.54305647320903 "ACB" "AFR"
"HG02102" -74.6964791162384 -15.5343242249868 98.6329403478592 "PEL" "AMR"
"HG02104" -79.4969190349457 -22.8869982408234 105.204538125304 "PEL" "AMR"
"HG02105" -82.4394387348016 -27.910180601914 109.330103429565 "PEL" "AMR"
"HG02107" 160.56066724458 -22.4268094223802 0.654067669607206 "ACB" "AFR"
"HG02108" 134.675319339706 -6.2439417729267 2.87510109042243 "ACB" "AFR"
"HG02111" 152.024532262448 -18.9349792918206 0.943042738589212 "ACB" "AFR"
"HG02113" -90.3460699968488 -109.409919517379 3.35995694278353 "KHV" "EAS"
"HG02116" -90.1165967799812 -107.534628667921 2.55324929336844 "KHV" "EAS"
"HG02121" -90.4834169979979 -109.678852593611 1.52527301312501 "KHV" "EAS"
"HG02122" -89.5921667675066 -111.478940031246 4.30675503116646 "KHV" "EAS"
"HG02127" -89.7532366553402 -109.955057119248 4.10277841770031 "KHV" "EAS"
"HG02128" -89.3808291314708 -108.288545206624 1.82187309538897 "KHV" "EAS"
"HG02130" -92.1558705281943 -109.604296373154 1.2817624831848 "KHV" "EAS"
"HG02131" -85.4852012053774 -98.4514448855458 -3.52863883064299 "KHV" "EAS"
"HG02133" -87.8013952625467 -109.502276795703 -0.757709951140847 "KHV" "EAS"
"HG02134" -88.9719151996361 -110.128543203366 3.1275131491594 "KHV" "EAS"
"HG02136" -87.7586983720492 -106.12062536235 -0.227673889492789 "KHV" "EAS"
"HG02137" -90.6021947860826 -110.601444823426 2.81746461230496 "KHV" "EAS"
"HG02138" -89.167513449271 -110.78158026158 1.66627367778888 "KHV" "EAS"
"HG02139" -90.5368042395091 -108.519457390024 1.55272151264155 "KHV" "EAS"
"HG02140" -90.7803693567547 -108.707407760719 3.43102882215567 "KHV" "EAS"
"HG02141" -89.3161609517732 -110.118967307958 1.38001080864993 "KHV" "EAS"
"HG02142" -85.3393024815518 -90.6612756764973 3.89137144070792 "KHV" "EAS"
"HG02143" 129.133404599667 -6.31776762605039 2.47799436845336 "ACB" "AFR"
"HG02144" 153.438983354077 -19.680949577394 1.07203363409571 "ACB" "AFR"
"HG02146" -79.098892427756 -18.5280318548202 106.286339023214 "PEL" "AMR"
"HG02147" -79.7073223316178 -24.0068524112313 109.335576942337 "PEL" "AMR"
"HG02150" -84.604224936025 -26.46830070584 111.115942093906 "PEL" "AMR"
"HG02151" -89.9779458616075 -109.893881756456 2.10718742958432 "CDX" "EAS"
"HG02152" -89.4846124567019 -111.134597459647 3.63431895209695 "CDX" "EAS"
"HG02153" -90.2500214298249 -109.929038241599 1.4538790757415 "CDX" "EAS"
"HG02154" -91.675911367431 -112.807575221074 3.56802471744294 "CDX" "EAS"
"HG02155" -91.1113415926279 -113.157068098524 5.12830238161323 "CDX" "EAS"
"HG02156" -90.0115725637558 -111.35598816697 2.81148624282245 "CDX" "EAS"
"HG02164" -89.8457529338497 -112.055332438076 -0.0709944411175394 "CDX" "EAS"
"HG02165" -91.5608031825732 -110.60251062647 3.38808882832399 "CDX" "EAS"
"HG02166" -90.4883565827408 -113.687831453523 4.64064290663443 "CDX" "EAS"
"HG02178" -90.2397131722175 -113.889967500385 3.30784571242224 "CDX" "EAS"
"HG02179" -88.8306817100897 -108.9836023248 3.43270717922631 "CDX" "EAS"
"HG02180" -90.5256192938779 -114.565160866889 3.46832437956939 "CDX" "EAS"
"HG02181" -90.4102291572822 -112.70659834738 3.21180055028715 "CDX" "EAS"
"HG02182" -90.632084380339 -111.5650427892 2.92230636064554 "CDX" "EAS"
"HG02184" -90.6878259493978 -113.847459607596 6.04993622331411 "CDX" "EAS"
"HG02185" -90.2767508152065 -111.672217039595 4.7817578099145 "CDX" "EAS"
"HG02186" -90.3424576662013 -113.68397471692 3.76770599488618 "CDX" "EAS"
"HG02187" -89.8405660238414 -114.310382252376 3.44136705177246 "CDX" "EAS"
"HG02188" -89.0757461445274 -113.90897808131 4.15224558356076 "CDX" "EAS"
"HG02190" -90.7126977800993 -111.790538037916 4.55055926452103 "CDX" "EAS"
"HG02215" -40.9217335792709 96.4694312381312 20.8369498319036 "GBR" "EUR"
"HG02219" -35.3606195397406 94.8635244857586 21.3290454758599 "IBS" "EUR"
"HG02220" -35.1138991557072 94.064843833348 19.0242406104401 "IBS" "EUR"
"HG02221" -34.5019134411633 95.4142875343417 19.6807984453923 "IBS" "EUR"
"HG02223" -36.2016549842169 94.9672399292048 19.9931152271918 "IBS" "EUR"
"HG02224" -36.5559617147914 95.0796035295249 20.3047067318382 "IBS" "EUR"
"HG02230" -37.0293804714859 95.4485752884977 19.6835109987272 "IBS" "EUR"
"HG02231" -36.7354533316027 95.0405817207026 18.7350279205868 "IBS" "EUR"
"HG02232" -31.1582812774339 94.9013525896932 21.8796211740773 "IBS" "EUR"
"HG02233" -32.686114947308 94.1335358508981 20.0709990167185 "IBS" "EUR"
"HG02235" -35.4488081805611 94.2613769334236 18.6352534590509 "IBS" "EUR"
"HG02236" -33.8371601446477 94.3850896772844 18.1393022838126 "IBS" "EUR"
"HG02238" -32.8776110489933 94.1686562876507 20.0569517047736 "IBS" "EUR"
"HG02239" -32.7374743160186 91.5801074187031 13.4056781983003 "IBS" "EUR"
"HG02250" -89.739181276839 -110.704804271041 4.22170715637795 "CDX" "EAS"
"HG02252" -64.5899262398833 5.44765332147515 81.7538931184316 "PEL" "AMR"
"HG02253" -61.5495832601408 22.0629827477055 73.2810678327183 "PEL" "AMR"
"HG02255" 151.959135660646 -20.2713249634868 1.66961151493894 "ACB" "AFR"
"HG02256" 122.893652690323 -1.95541818218686 7.12764357888032 "ACB" "AFR"
"HG02259" -83.7342064328591 -32.8295515915284 112.847967233249 "PEL" "AMR"
"HG02260" -74.8660464540373 -14.8000123798561 100.351361713199 "PEL" "AMR"
"HG02262" -74.2693401132605 -6.65663773556684 94.400687350216 "PEL" "AMR"
"HG02265" -82.1896766857635 -24.8927996105501 110.89313676758 "PEL" "AMR"
"HG02266" -81.4773412925535 -28.8403911350417 108.470132318727 "PEL" "AMR"
"HG02271" -83.3758253465077 -30.296968906827 114.234544193982 "PEL" "AMR"
"HG02272" -86.9213847294128 -35.0587899159611 119.575373262238 "PEL" "AMR"
"HG02274" -14.1206872099714 -13.8389053500552 70.0023170929867 "PEL" "AMR"
"HG02275" -83.144370288828 -28.7403120476541 111.859959449351 "PEL" "AMR"
"HG02277" -70.9305951136559 5.67836665023659 83.004232435771 "PEL" "AMR"
"HG02278" -79.6718230416025 -23.9660958464939 106.432657514502 "PEL" "AMR"
"HG02281" 160.838200142607 -23.3615461432032 -0.673182321707571 "ACB" "AFR"
"HG02282" 126.320426025756 -3.99645540473313 2.16990633277718 "ACB" "AFR"
"HG02283" 123.631230424281 -1.71030889648772 2.99224228758058 "ACB" "AFR"
"HG02284" 134.921151494519 -8.61730047512224 2.29632722291963 "ACB" "AFR"
"HG02285" -71.9926014918786 -8.30465450417299 95.166739113223 "PEL" "AMR"
"HG02286" -71.5258176107502 -4.34551945736112 90.9883080114282 "PEL" "AMR"
"HG02291" -83.1446060090695 -31.0981593269612 112.363842992688 "PEL" "AMR"
"HG02292" -78.7917520626144 -16.039717567983 102.009052530548 "PEL" "AMR"
"HG02298" -63.4194782300945 11.913040407122 79.274496358941 "PEL" "AMR"
"HG02299" -78.803097882883 -18.6384173347278 103.211727798678 "PEL" "AMR"
"HG02301" -75.8395421533695 -10.5908494498804 99.0621792245266 "PEL" "AMR"
"HG02304" -62.7880719065974 -15.9814117799478 90.6011458009944 "PEL" "AMR"
"HG02307" 153.534513403269 -21.2056302648897 0.287113154494793 "ACB" "AFR"
"HG02308" 145.872872299591 -13.8795661769866 2.38623679145518 "ACB" "AFR"
"HG02309" 146.574203106967 -15.0938743454984 1.54699206898541 "ACB" "AFR"
"HG02312" -66.4258760991687 13.5934763659693 76.2212876227751 "PEL" "AMR"
"HG02314" 153.895712177553 -18.2288575235435 1.37377367377802 "ACB" "AFR"
"HG02315" 139.201260145063 -10.953197409963 2.48969853188134 "ACB" "AFR"
"HG02317" 155.609249970984 -19.5744031618152 -0.478206621653871 "ACB" "AFR"
"HG02318" 156.230257346418 -22.2933758222677 -0.258997542588415 "ACB" "AFR"
"HG02322" 140.8710604757 -11.6787093390433 1.77861954666681 "ACB" "AFR"
"HG02323" 154.663388038424 -19.034451559074 0.352892651723789 "ACB" "AFR"
"HG02325" 160.278845359614 -23.7809082618226 1.39930930775622 "ACB" "AFR"
"HG02330" 146.843411501211 -15.6558391557429 1.65918233996943 "ACB" "AFR"
"HG02332" 149.255142787225 -13.9038728171958 2.77837321001778 "ACB" "AFR"
"HG02334" 119.424577218372 0.555877226592712 3.96546632876798 "ACB" "AFR"
"HG02337" 142.804417258834 -12.4725683764982 2.68635308093673 "ACB" "AFR"
"HG02339" 162.657124205607 -24.423759929835 2.26551586984452 "ACB" "AFR"
"HG02343" 120.351539308634 -0.469706150813812 4.51895764678421 "ACB" "AFR"
"HG02345" -49.8396831123057 5.1462045932838 60.8156877862145 "PEL" "AMR"
"HG02348" -75.9101113249896 -13.0172212762889 99.7264724052151 "PEL" "AMR"
"HG02351" -89.2868957025409 -110.737759387613 3.48359957968818 "CDX" "EAS"
"HG02353" -91.5220680255774 -112.217436968919 1.84287182149613 "CDX" "EAS"
"HG02355" -91.7442976810932 -111.509622325272 1.01189909100043 "CDX" "EAS"
"HG02356" -90.6566482700307 -113.396446499115 2.81241148941004 "CDX" "EAS"
"HG02360" -89.4381910741843 -112.236394059997 4.70476355132867 "CDX" "EAS"
"HG02364" -88.0699781991772 -114.185670623819 3.97051073399097 "CDX" "EAS"
"HG02367" -91.7794961830988 -112.326790397168 2.8692422200291 "CDX" "EAS"
"HG02371" -91.5061378616899 -113.338764803775 5.70226386698405 "CDX" "EAS"
"HG02373" -89.7670381643145 -111.970582949096 4.21043320033805 "CDX" "EAS"
"HG02374" -90.9450386649557 -110.165867633227 4.55154887519137 "CDX" "EAS"
"HG02375" -90.1337956693206 -111.596497720555 3.5161396215687 "CDX" "EAS"
"HG02379" -90.0185666865264 -110.387352428617 2.82081345133606 "CDX" "EAS"
"HG02380" -90.3184172312783 -113.372311142098 4.22877262196138 "CDX" "EAS"
"HG02382" -90.1729031580666 -112.96337289202 2.75111342853832 "CDX" "EAS"
"HG02383" -91.9327643967041 -111.397240139598 2.50508131306371 "CDX" "EAS"
"HG02384" -90.4467105064051 -113.763055156085 4.0006691934748 "CDX" "EAS"
"HG02385" -89.4217389541904 -113.171499363547 3.78886861287178 "CDX" "EAS"
"HG02386" -89.2317627240553 -109.625289685042 3.84576402626574 "CDX" "EAS"
"HG02389" -91.9532930908245 -112.251316352125 2.5395869493933 "CDX" "EAS"
"HG02390" -91.4047975511163 -112.67433206244 3.60292678264117 "CDX" "EAS"
"HG02391" -92.5541233075844 -113.603611299016 4.63656941170464 "CDX" "EAS"
"HG02392" -90.6531115202871 -112.719280104507 4.17052025223233 "CDX" "EAS"
"HG02394" -89.9885491268055 -109.943905985603 3.80392841364778 "CDX" "EAS"
"HG02395" -89.5276829176547 -112.46188744221 5.17103990878108 "CDX" "EAS"
"HG02396" -91.2101844561407 -111.835140588665 3.75097501727314 "CDX" "EAS"
"HG02397" -89.9403466222513 -111.797489531602 3.05064536302958 "CDX" "EAS"
"HG02398" -90.3881189037413 -110.882559497774 3.42784536240583 "CDX" "EAS"
"HG02399" -90.6846590516493 -112.759493725178 2.20116748319792 "CDX" "EAS"
"HG02401" -89.609445588874 -111.558785553658 4.57662887787365 "CDX" "EAS"
"HG02402" -91.1086206980552 -112.808885898103 4.81548664120791 "CDX" "EAS"
"HG02406" -90.0394865484834 -111.797529440701 3.55504732159355 "CDX" "EAS"
"HG02407" -90.5766852011548 -112.540414087356 1.00357103930012 "CDX" "EAS"
"HG02408" -90.5052243989142 -110.691525279614 4.86849383852731 "CDX" "EAS"
"HG02409" -92.645241777096 -111.883584270443 3.7757931080417 "CDX" "EAS"
"HG02410" -90.1763638081489 -111.246000469234 4.323955883739 "CDX" "EAS"
"HG02419" 153.620077695504 -20.5143504130884 0.292154003388098 "ACB" "AFR"
"HG02420" 79.1358778799805 24.4590415453069 9.45706741792468 "ACB" "AFR"
"HG02425" -54.2946743322405 12.7823825354967 73.6162026594986 "PEL" "AMR"
"HG02427" 148.211492577602 -17.3931159274828 0.208847711435957 "ACB" "AFR"
"HG02429" 149.651313999487 -15.3598373419659 1.45073395665868 "ACB" "AFR"
"HG02433" 144.104231276003 -13.9278969459934 -0.146911906501317 "ACB" "AFR"
"HG02439" 154.920656657222 -22.3918611516501 1.41674135393534 "ACB" "AFR"
"HG02442" 162.921829324149 -25.6505955952647 -1.24032913985058 "ACB" "AFR"
"HG02445" 132.175677614336 -6.39054091744486 3.99361226448967 "ACB" "AFR"
"HG02449" 156.755384194072 -19.9095596846871 1.32229319647534 "ACB" "AFR"
"HG02450" 149.255994647014 -17.2684753826126 0.757301116768895 "ACB" "AFR"
"HG02455" 138.101766030103 -11.1517468829707 1.87473141922421 "ACB" "AFR"
"HG02461" 166.113055596883 -25.1523698318491 0.534473578325902 "GWD" "AFR"
"HG02462" 157.067966032135 -19.474974886396 1.12849413521388 "GWD" "AFR"
"HG02464" 167.035490980193 -24.833466758757 0.555995084677523 "GWD" "AFR"
"HG02465" 166.007681487042 -26.3420231523077 -1.010655712467 "GWD" "AFR"
"HG02470" 154.002767346005 -17.2185513477676 0.276183407448591 "ACB" "AFR"
"HG02471" 152.503848300607 -18.2460251211647 2.89380952461884 "ACB" "AFR"
"HG02476" 135.207219236812 -7.5598734765468 3.01943824651349 "ACB" "AFR"
"HG02477" 140.217862737424 -11.9829832375417 3.08964036312398 "ACB" "AFR"
"HG02479" 148.095837677457 -14.4927280826208 3.13373856377475 "ACB" "AFR"
"HG02481" 148.127366669057 -18.7009164735925 1.9006706891442 "ACB" "AFR"
"HG02484" 147.467922930887 -14.5869304151281 1.80425492235947 "ACB" "AFR"
"HG02485" 115.295789002759 5.04588884923264 6.09712146319675 "ACB" "AFR"
"HG02489" 139.70835387326 -10.9232254215015 1.58222272365014 "ACB" "AFR"
